Device,Electrical Components,Hazardous Materials,Health & Environmental Impact,Recyclability
Battery,"Lithium-ion cells, Electrolyte, Metal casing, Protection circuit","Lead, Mercury, Cadmium, Lithium, Cobalt, Nickel, Manganese","Battery leaks contaminate soil & water, heavy metals cause neurological & kidney damage, lithium fires pose explosion risks","Recyclable at e-waste facilities; lithium, cobalt, and nickel can be recovered"
Camera,"CMOS/CCD sensor, PCB, Rechargeable battery, Plastic & metal body, Optical lens","Lead, Cadmium, Plastics, Brominated Flame Retardants (BFRs)","Toxic fumes during disposal, microplastic pollution, heavy metal exposure",Metal & plastic parts are recyclable; lens and battery require specialized disposal
Circuit Board (PCB),"Copper traces, Gold plating, Solder joints, Fiberglass substrate, Integrated circuits, Resistors, Capacitors","Lead, Mercury, Arsenic, Beryllium, Brominated Flame Retardants (BFRs), Antimony","Air & soil contamination from improper disposal, arsenic & beryllium toxicity causes lung disease, water pollution","High recyclability: Gold, silver, copper, and palladium can be extracted; fiberglass is difficult to recycle"
Computer,"CPU, RAM, Power Supply, Hard Drive, Motherboard, Cooling fans, LCD/LED display","Lead, Mercury, Arsenic, Chromium, Brominated Flame Retardants (BFRs), PVC, Cadmium","Carcinogenic risks, persistent organic pollutants, landfill waste causes long-term contamination","Recyclable: Metals, plastic, and circuit boards can be recovered; hard drives can be shredded for data security"
Headphone,"Speakers, Copper wiring, Plastic casing, PCB, Battery (wireless models)","Lead, PVC, Phthalates, Polyurethane foam, Cadmium","Soil & groundwater contamination, phthalates disrupt hormone balance, plastic waste adds to landfill burden","Limited recyclability: Some materials (metals, wires) can be extracted; plastics are hard to recycle"
Computer-Keyboard,"Plastic keycaps, PCB, Silicone membrane, Metal springs, USB cable","Brominated Flame Retardants (BFRs), PVC, Lead, Phthalates","Persistent organic pollutants, respiratory irritation from burning plastics",Partially recyclable: Plastic and metal components can be processed; rubber domes are harder to recycle
Laptop,"Processor, RAM, SSD/HDD, Battery, LCD panel, Keyboard, Cooling fan","Lead, Lithium, Brominated Flame Retardants (BFRs), Indium, Arsenic","Toxic waste buildup, indium & arsenic exposure damages lungs, lithium batteries can explode if mishandled","Highly recyclable: Batteries, metals, screens, and casings can be processed separately"
Laptop Charger,"Transformer, Copper wiring, PCB, Plastic casing","Lead, PVC, Brominated Flame Retardants (BFRs), Phthalates","Soil & water pollution, PVC incineration releases dioxins, long-term carcinogenic effects",Recyclable: Copper wiring and plastic casing can be recovered
LED-Bulb,"LED chips, Circuit board, Gas-filled tubes, Phosphor coating","Mercury, Lead, Phosphor powder, Arsenic","Mercury poisoning from broken CFLs, air & soil contamination, arsenic exposure from LED screens","CFLs require special disposal, LEDs have recyclable components"
Bar Phone,"OLED/LCD display, Battery, PCB, Antenna, Speaker, Sensors","Lead, Mercury, Lithium, Indium, Brominated Flame Retardants (BFRs), Antimony","Soil degradation, toxic leachates, electronic waste crisis, rare metals mining damages ecosystems","Highly recyclable: Precious metals (gold, silver, palladium) can be recovered; batteries need special recycling"
